Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,1473,40,2.58142,2.50397
2,10129,41,3.14362,3.08981
3,74849,40.625,3.44157,3.38589
4,574913,40,3.59653,3.54052
