Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,3480,30,1.08354,1.07756
2,24432,30.5,1.2768,1.27642
3,182240,30,1.3725,1.35323
4,1405888,30,1.42912,1.40508
