Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,4401,48,2.24667,2.11348
2,31841,50,2.94899,2.63269
3,241857,48.5,3.41927,3.4119
4,1884545,46.875,3.93271,3.86749
