Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,1429,30.25,1.0092,0.999998
2,9929,49.375,1.09677,1.02007
3,73745,43.25,1.21112,1.04109
4,567841,40,1.47483,1.08281
