Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,4401,34,1.17541,1.09341
2,31841,35.125,1.54857,1.34
3,241857,36.875,1.70779,1.54697
4,1884545,36.375,1.84212,1.72495
