Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,4401,33.375,1.17541,1.09341
2,31841,38.375,1.47022,1.16897
3,241857,37,2.24583,1.38897
4,1884545,35,5.17067,1.94781
