Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,1473,30,1.178,1.13485
2,10129,32,1.38848,1.35728
3,74849,33.25,1.49874,1.47292
4,574913,33.5,1.56008,1.53605
