Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,2867,50,63.6454,63.6454
2,20739,86.375,250.175,250.175
3,157315,971.125,885.934,885.934
4,1224451,1000,3077.1,3077.1
