Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,1429,31,1.0092,0.999998
2,9929,32,1.32883,1.31329
3,73745,32.5,1.4662,1.45955
4,567841,33,1.57101,1.5682
