Refinements,DOFs,AvgGMRES,AbsEval0,AbsEval1
1,1473,30,1.178,1.13485
2,10129,53.5,1.41286,1.28272
3,74849,42,2.01995,1.65549
4,574913,34,4.11452,2.75506
